target,model,mae,rmse,mape,smape,r2,da_pct
bdi_hsi,Persistence,3.3,4.71,0.71,0.7,0.9979,10.98
bdi_hsi,Ridge_a1.0,2.12,2.69,0.45,0.45,0.9993,77.46
bdi_hsi,XGBoost,4.25,5.6,0.83,0.83,0.9971,63.87
bdi_si,Persistence,7.6,10.82,0.95,0.95,0.9964,5.2
bdi_si,Ridge_a1.0,4.15,5.52,0.5,0.5,0.9991,77.46
bdi_si,XGBoost,10.0,14.54,1.21,1.19,0.9935,69.08
bdi_pi,Persistence,19.97,27.47,1.58,1.58,0.9926,1.45
bdi_pi,Ridge_a1.0,10.62,14.14,0.85,0.85,0.998,78.61
bdi_pi,XGBoost,16.24,32.21,1.12,1.13,0.9899,76.01
bdi_ci,Persistence,80.57,110.77,5.55,5.59,0.987,0.0
bdi_ci,Ridge_a1.0,73.34,96.05,5.63,5.44,0.9902,71.1
bdi_ci,XGBoost,77.43,102.69,8.29,6.76,0.9888,69.08
